latitude,longitude,altitude,geometry,coordinates,avspeed,distance,duration,endtime,maxspeed,minspeed,starttime,streetnames,taxiid,tripid
,,,LineString,"-8.6063,41.1446",16.09664004,0,0,10/1/2013 0:00,16.09664004,16.09664004,10/1/2013 0:00,Praca da Batalha,20000305,417118
,,,LineString,"-8.59347,41.1508",20.46317504,0,0,10/1/2013 0:18,20.46317504,20.46317504,10/1/2013 0:18,Rua do Bonfim,20000463,417135
,,,LineString,"-8.67233,41.149,-8.67232,41.149,-8.67083,41.1488,-8.66797,41.1477,-8.66552,41.1479,-8.66244,41.1477,-8.66144,41.1475,-8.65925,41.1469,-8.6566,41.1473,-8.65399,41.1484,-8.65104,41.1481,-8.64832,41.1483,-8.64531,41.1483,-8.64279,41.148,-8.64161,41.1482,-8.6",37.20815506,6201.451072,585,10/1/2013 0:21,70.40635498,0.200951557,10/1/2013 0:11,"Rua do Passeio Alegre,Rua do Passeio Alegre,Rua do Passeio Alegre,Rua do Passeio Alegre,Rua do Passeio Alegre,Rua do Passeio Alegre,Rua de Sobreiras,Rua do Ouro,Rua do Passeio Alegre,Rua de Sobreiras,Largo Antonio Calem,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua de Mouzinho da Silveira,Rua do Doutor Magalhaes Lemos,Viaduto do Cais das Pedras,Rua de Mouzinho da Silveira,Viaduto do Cais das Pedras,Alameda Basilio Teles,Rua de Mouzinho da Silveira,Rua Nova da Alfandega,Rua de Monchique,Rua do Infante Dom Henrique,Rua Nova da Alfandega,Rua do Doutor Magalhaes Lemos,Rua Bitaraes,Rua de Mouzinho da Silveira,Rua dos Pelames,Rua do Doutor Magalhaes Lemos,Rua de Mouzinho da Silveira,Rua de Mouzinho da Silveira,Praca de Almeida Garrett,Rua de Passos Manuel,Rua de Sa da Bandeira",20000105,417142
,,,LineString,"-8.67237,41.149,-8.67239,41.149,-8.67191,41.149,-8.66977,41.1485,-8.66695,41.1474,-8.66407,41.148,-8.66038,41.1472,-8.65733,41.1469,-8.65467,41.1483,-8.65185,41.1482,-8.64907,41.148,-8.64624,41.1484,-8.64341,41.1481,-8.64234,41.1481,-8.63996,41.1485,-8.63",32.824985,5893.478819,630,10/1/2013 0:22,77.16489694,0,10/1/2013 0:11,"Rua de Passos Manuel,Rua do Doutor Magalhaes Lemos,Rua do Bonjardim,Rua do Bonjardim,Rua do Doutor Magalhaes Lemos,Rua do Doutor Magalhaes Lemos,Rua de Rodrigues Sampaio,Rua do Passeio Alegre,Rua de Sa da Bandeira,Rua do Passeio Alegre,Rua do Passeio Alegre,Praca da Liberdade,Rua dos Clerigos,Rua da Restauracao,Rua do Passeio Alegre,Rua do Passeio Alegre,Rua de Sobreiras,Rua do Passeio Alegre,Rua da Restauracao,Rua do Ouro,Rua de Sobreiras,Rua de Sobreiras,Rua da Restauracao,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Rua do Ouro,Alameda Basilio Teles,Rua da Restauracao,Rua da Restauracao,Rua do Ouro,Rua do Ouro,Rua da Restauracao,Alameda Basilio Teles,IP3,Rua Campo dos Martires da Patria,Rua Campo dos Martires da Patria,Rua da Restauracao,Rua da Restauracao,Rua Campo dos Martires da Patria,Rua Campo dos Martires da Patria",20000488,417145
,,,LineString,"-8.67989,41.1566,-8.6799,41.1566,-8.67951,41.1568,-8.67839,41.1573,-8.6774,41.1562,-8.67634,41.1549,-8.67534,41.1548,-8.6746,41.1543,-8.67455,41.1543,-8.67356,41.1547,-8.67211,41.1552,-8.67026,41.156,-8.66777,41.157,-8.66489,41.1581,-8.66195,41.1593,-8.65",32.33655828,5666.998333,615,10/1/2013 0:17,67.19321999,0.200913854,10/1/2013 0:07,"Avenida da Boavista,Avenida da Boavista,Avenida do Marechal Gomes da Costa,Avenida do Marechal Gomes da Costa,Rua Doutor Sousa Rosa,Avenida do Marechal Gomes da Costa,Rua do Padrao,Rua do Marechal Saldanha,Rua do Padrao,Avenida do Marechal Gomes da Costa,Rua Doutor Sousa Rosa,Rua de Corte Real,Rua de Corte Real,Praca de Liege,Avenida do Marechal Gomes da Costa,Rua de Diu,Avenida do Marechal Gomes da Costa,Rua de Diu,Avenida do Marechal Gomes da Costa,Avenida da Boavista,Avenida da Boavista,Avenida da Boavista,Avenida da Boavista,Rua de Pedro Hispano,Rua dos Vanzeleres,Rua de Domingos Sequeira,Rua de Domingos Sequeira,Rua dos Vanzeleres,Avenida da Boavista,Rua 15 de Novembro,Avenida da Boavista,Rua 15 de Novembro,Avenida da Boavista,Avenida da Boavista,Avenida da Boavista,Rua da Quinta Amarela,Rua de Oliveira Monteiro,Rua de Domingos Sequeira,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro",20000022,417155
,,,LineString,"-8.61094,41.1457,-8.61088,41.1459,-8.6108,41.146,-8.61007,41.1464,-8.60891,41.1469,-8.60828,41.148,-8.60729,41.1486,-8.60532,41.148,-8.60395,41.1475,-8.60405,41.1467,-8.60497,41.1458,-8.60441,41.1454,-8.60449,41.1453,-8.60489,41.1444,-8.60504,41.1442,-8.6",28.40025466,5204.851286,645,10/1/2013 0:18,64.74105526,0.603157992,10/1/2013 0:08,"Rua Formosa,Praca de Almeida Garrett,Rua de Sa da Bandeira,Praca da Liberdade,Rua de Sa da Bandeira,Rua Formosa,Rua de 31 de Janeiro,Rua de Sa da Bandeira,Avenida Dom Joao II,Avenida Dom Joao II,Rua de Alexandre Herculano,Rua da Alegria,Rua do Duque de Loule,Rua do Duque de Loule,Rua do Duque de Loule,Avenida de Rodrigues de Freitas,Rua de Santo Ildefonso,Ponte do Infante,Rua de Alexandre Herculano,Ponte do Infante,Avenida Dom Joao II,Avenida Dom Joao II,Avenida Dom Joao II,Avenida Dom Joao II,Avenida Dom Joao II,Avenida Dom Joao II,Avenida Dom Joao II,Avenida Dom Joao II,Avenida Dom Joao II,Rua Conde Silva Monteiro,Largo Lavandeira,Rua Lameiro,Avenida Dom Joao II,Rua de Raimundo de Carvalho,Rua de Raimundo de Carvalho,Rua de Raimundo de Carvalho,Rua de Raimundo de Carvalho,Rua de Raimundo de Carvalho,Rua Conde Silva Monteiro,Rua Lameiro,Rua Lameiro,Travessa Lameiro,Travessa Lameiro,Travessa Lameiro",20000305,417156
,,,LineString,"-8.60292,41.1467,-8.60295,41.1467,-8.60295,41.1467,-8.60314,41.1466,-8.60433,41.1462,-8.60287,41.1462,-8.60185,41.1465,-8.60046,41.1469,-8.60039,41.146,-8.6004,41.1459,-8.60039,41.146,-8.6004,41.1459,-8.60041,41.1459,-8.60131,41.1457,-8.60166,41.1457,-8.6",12.20368847,1067.592941,300,10/1/2013 0:24,29.90343722,0,10/1/2013 0:19,"Rua do Visconde de Bobeda,Rua de Santo Ildefonso,Rua de Santo Ildefonso,Rua Doutor Alves da Veiga,Rua Doutor Alves da Veiga,Passeio de Sao Lazaro,Praca dos Poveiros,Rua do Visconde de Bobeda,Rua do Visconde de Bobeda,Rua do Morgado de Mateus,Avenida de Sao Martinho,Avenida de Rodrigues de Freitas,Avenida de Rodrigues de Freitas,Avenida de Rodrigues de Freitas,Rua do Visconde de Bobeda,Rua de Sao Victor,Avenida de Rodrigues de Freitas,Rua Joaquim Antonio de Aguiar,Avenida de Sao Martinho,Praca da Alegria,Rua de Sao Victor",20000446,417157
,,,LineString,"-8.62473,41.1615,-8.62475,41.1615,-8.62476,41.1615,-8.62474,41.1615,-8.62475,41.1615,-8.62475,41.1615,-8.62473,41.1615,-8.62475,41.1615,-8.62476,41.1616,-8.62478,41.1616,-8.62479,41.1616,-8.62482,41.1616,-8.6248,41.1615,-8.62476,41.1613,-8.62468,41.1601,-",32.77700341,7789.966244,840,10/1/2013 0:14,105.1031062,0,10/1/2013 0:00,"Rua de Oliveira Monteiro,Rua Sousa Aroso,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro,Rua da Graciosa,Rua da Graciosa,Rua da Graciosa,Rua Sousa Aroso,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro,Rua Sousa Aroso,Rua da Graciosa,Avenida Associacao Empresarial de Portugal,Avenida Dom Afonso Henriques,Rua Sousa Aroso,Rua de Oliveira Monteiro,Rua Sousa Aroso,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro,Rua de Oliveira Monteiro,Rua Dom Antonio Barroso,Avenida Associacao Empresarial de Portugal,Estrada da Circunvalacao,Rua de Oliveira Monteiro,Rua Dom Antonio Barroso,Avenida Associacao Empresarial de Portugal,Avenida da Franca,Estrada da Circunvalacao,Rua de Nossa Senhora de Fatima,Rua de Nossa Senhora de Fatima,Praca de Mouzinho de Albuquerque,Avenida da Franca,Estrada da Circunvalacao,Avenida da Franca,Avenida Associacao Empresarial de Portugal,Avenida da Franca,Avenida da Franca,Avenida Associacao Empresarial de Portugal,Avenida Associacao Empresarial de Portugal,Estrada da Circunvalacao,Rua da Constituicao,Avenida de Sidonio Pais,Rua de 5 de Outubro,Rua da Constituicao,Rua da Constituicao,Avenida Fontes Pereira de Melo,Estrada da Circunvalacao,Estrada da Circunvalacao,Estrada da Circunvalacao,Avenida Associacao Empresarial de Portugal,Estrada da Circunvalacao,Avenida Dom Afonso Henriques,Rua Sousa Aroso,Rua Sousa Aroso,Avenida Dom Afonso Henriques,Rua Sousa Aroso",20000625,417169
,,,LineString,"-8.57357,41.1707,-8.57357,41.1707,-8.57399,41.1706,-8.57332,41.172,-8.57363,41.172,-8.57318,41.1727,-8.57335,41.1737,-8.57238,41.1746,-8.57372,41.1743,-8.57591,41.1744,-8.57753,41.1746,-8.57991,41.1744,-8.58214,41.1741,-8.58401,41.1742,-8.58432,41.1743,-8",20.80887661,6851.716223,1170,10/1/2013 0:37,57.24734109,0,10/1/2013 0:17,"Rua de Augusto Rosa,Rua do Doutor Deniz Jacinto,Rua do Doutor Deniz Jacinto,Rua de Santo Ildefonso,Rua do Doutor Deniz Jacinto,Rua da Madeira,Rua do Alferes Malheiro,Rua de Santo Ildefonso,Rua do Doutor Deniz Jacinto,Rua do Doutor Deniz Jacinto,Largo Padrao,Rua de Entreparedes,Praca da Batalha,Rua de Entreparedes,Rua do Campinho,Rua do Alferes Malheiro,Rua da Trindade,Praca da Batalha,Rua da Madeira,Praca Trindade,Praca da Batalha,Rua do Alferes Malheiro,Rua de Passos Manuel,Rua de Santa Catarina,Avenida dos Aliados,Rua de Passos Manuel,Rua de Passos Manuel,Rua de Passos Manuel,Rua de Passos Manuel,Rua de Passos Manuel,Rua de Santa Catarina,Rua de Passos Manuel,Avenida dos Aliados,Avenida dos Aliados,Rua do Bonjardim,Avenida de Fernao de Magalhaes,Largo Padrao,Avenida de Fernao de Magalhaes,Avenida de Fernao de Magalhaes,Avenida de Fernao de Magalhaes,Rua do Alferes Malheiro,Rua de Santa Justa,Rua de Santa Justa,Rua da Nau Vitoria,Rua da Nau Vitoria,Rua da Nau Vitoria,Rua do Doutor Deniz Jacinto,Rua Nau Vitoria,Rua Deniz Jacinto,Rua da Nau Vitoria,Rua de Santa Justa,Rua da Nau Vitoria,Rua Coelho Neto,Rua de Santos Pousada,Rua Coelho Neto,Rua do Barao de Sao Cosme,Rua de Santos Pousada,Rua de Santos Pousada,Avenida de Fernao de Magalhaes,Avenida de Fernao de Magalhaes,Avenida de Fernao de Magalhaes,Rua Carlos Malheiro Dias,Rua de Santos Pousada,Rua Carlos Malheiro Dias,Rua Carlos Malheiro Dias,Rua de Santos Pousada,Rua de Santos Pousada,Rua de Santos Pousada,Rua de Santos Pousada,Praca da Rainha Dona Amelia,Rua de Latino Coelho,Rua de Santos Pousada,Rua de Santos Pousada,Rua de Santos Pousada,Rua de Santos Pousada,Avenida de Fernao de Magalhaes,Avenida de Fernao de Magalhaes,Avenida de Fernao de Magalhaes,Avenida de Fernao de Magalhaes",20000649,417170
,,,LineString,"-8.62724,41.1521,-8.62681,41.1521,-8.62609,41.1525,-8.62646,41.1538,-8.62692,41.155,-8.62813,41.1563,-8.62842,41.1567,-8.6284,41.1569,-8.62842,41.1572,-8.62792,41.1577,-8.62799,41.1582,-8.62879,41.1591,-8.62817,41.1612,-8.62748,41.1634,-8.62716,41.1645,-8",24.09715225,2810.99665,405,10/1/2013 0:12,60.32532815,0.200904044,10/1/2013 0:06,"Avenida da Boavista,Rua da Piedade,Avenida da Boavista,Avenida da Boavista,Rua de Pedro Hispano,Rua da Piedade,Praca de Mouzinho de Albuquerque,Praca de Mouzinho de Albuquerque,Praca de Mouzinho de Albuquerque,Rua de Julio Dinis,Largo de Ferreira Lapa,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Julio Dinis,Rua da Constituicao,Rua da Constituicao,Rua de Pedro Hispano,Avenida da Franca,Rua da Constituicao,Avenida da Franca,Rua dos Acores,Rua dos Acores,Avenida da Franca,Rua de Belos Ares,Rua de Pedro Hispano,Rua de Belos Ares,Rua de Belos Ares",20000621,417171
